,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
68,Team Liquid,Red,FALSE,34,1961,FALSE,FALSE,4,8,12,1164122,281172,445166,437780,43706,20912,21592,1200,25455,9,89994,24139,2285,189,84,86410,37164,43775,5466,52736,51100,1023,195,151,4,1717,74,41,0,109,38,36.5,27.4,2260.5,1924.6,1642.8,1307.8,1725.7,1551.3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,1
69,Flash Wolves,Blue,TRUE,35,2334,FALSE,FALSE,17,5,39,974935,389598,405179,180153,67242,45604,20600,1036,91870,11,121256,72602,19768,283,109,130417,61004,66699,2710,67757,56575,954,200,141,16,2107,83,55,0,137,64,28.1,26.5,1955.6,1837.4,1635.3,1280.8,2349.1,1725.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,7,1,2,1,0
70,Fnatic,Red,FALSE,35,2334,FALSE,FALSE,5,17,12,1124354,494976,397160,232213,82324,53696,25911,2712,23499,10,73103,29017,9461,299,163,87990,48078,38873,1036,61787,60225,1026,241,171,6,2117,78,35,0,144,58,29.2,27.6,2071.8,1910.4,1588.4,1255.4,1845.7,1347.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,1
71,Team Liquid,Blue,FALSE,36,2314,FALSE,FALSE,14,24,39,1421969,303816,765873,352275,114988,41113,65246,8624,50956,11,154131,58602,8987,308,179,136803,66669,65470,4661,69127,67043,1129,218,148,4,2451,82,50,0,131,64,33.1,27,2210.1,1806.5,1901.6,1258.9,2807.2,1742.9,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,3,1
72,EVOS Esports,Red,TRUE,36,2314,FALSE,FALSE,24,14,61,1242713,513461,416512,312738,104486,64332,35491,4661,72115,18,191784,66408,22897,323,207,151639,45311,97698,8626,77958,70450,1128,240,166,29,11044,86,44,0,177,42,32.8,26.7,2281.9,1894.5,1743.4,1234.7,2589.9,1797,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,9,1,2,2,0
73,Royal Never Give Up,Blue,FALSE,37,2229,FALSE,FALSE,5,12,15,1144424,281643,522037,340737,50455,22740,26750,963,30196,10,101185,18703,2915,277,114,98357,26738,65528,6088,60582,57325,1127,151,118,12,9214,81,35,0,117,64,29.5,26.9,2027.4,1850.9,1560.9,1223.5,1576.4,1444.4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,1,0
74,KING-ZONE DragonX,Red,TRUE,37,2229,FALSE,FALSE,12,5,25,1534032,289217,721097,523712,73503,25725,41687,6089,21368,9,78787,98574,26302,298,63,81721,27408,53348,963,75137,68216,1147,301,138,65,1946,86,54,0,149,48,33,28.6,2253.7,2001.4,2039.4,1364.4,1409.2,1423.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,11,4,2,3,1
75,KING-ZONE DragonX,Blue,FALSE,38,2114,FALSE,FALSE,8,16,24,968470,460116,374841,133510,57775,30070,25806,1897,80599,10,107385,23505,2776,232,84,104022,48187,50126,5704,60377,58600,1084,164,127,4,2574,79,40,0,126,52,32.6,25.1,2197.3,1808.8,1588.8,1279.2,2709.3,1809.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0
76,Fnatic,Red,TRUE,38,2114,FALSE,FALSE,16,8,40,1339368,477556,458068,403739,75481,45324,24949,5204,29706,12,137847,89371,24278,276,101,87201,32848,52762,1589,71305,64038,1064,266,139,56,4558,83,43,0,156,45,33.6,26.5,2476.9,1932.7,2054.4,1418.4,2079.9,1748,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,4,1,4,1
77,Royal Never Give Up,Blue,TRUE,39,2057,FALSE,FALSE,16,2,40,1208468,292485,596926,319051,70147,31759,33424,4963,42845,10,78130,79360,21814,305,66,71122,21772,48467,880,70520,63175,1090,246,142,31,1950,84,29,0,131,76,34.5,26.4,2357.7,1874.7,1895.2,1226.2,2020.1,1611,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,2,1,3,1
78,EVOS Esports,Red,FALSE,39,2057,FALSE,FALSE,2,16,3,1002008,290604,370527,340870,37581,19270,17430,880,32784,10,79997,11260,1701,227,84,92623,33517,54140,4962,50799,48958,1035,163,132,4,8986,72,55,0,136,55,33,27.5,2092.7,1906.8,1560.9,1227.6,2252.7,1656.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
79,Team Liquid,Blue,FALSE,40,1619,FALSE,FALSE,2,9,5,638447,73041,378730,186672,27241,8337,17334,1565,18692,13,58458,6469,0,147,59,63133,21020,39652,2458,40051,40275,810,110,87,0,2366,63,33,0,83,29,32.1,28.3,2044.4,1857.8,1565.6,1228.7,1914.4,1624.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
80,Flash Wolves,Red,TRUE,40,1619,FALSE,FALSE,9,2,28,843037,173403,466021,203608,45054,19207,23386,2458,21783,16,40637,69014,22539,196,90,54563,12064,40930,1565,54948,48458,752,197,107,43,2320,70,37,0,86,43,31.5,25.5,2261.4,1894.2,1991.6,1262.2,1896.5,1302.4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,2,1,3,1
81,EVOS Esports,Blue,FALSE,41,2008,FALSE,FALSE,9,18,20,931620,244216,377606,309798,42156,24219,16019,1915,14917,14,82793,45747,14338,246,124,89449,30300,58341,807,54956,53375,795,177,125,20,3695,70,34,0,141,29,28.2,23.9,2127.5,1702.8,2002.1,1216.5,2322.1,1489.3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,6,1,1,0,1
