,name,teamRole,wins,losses,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
75,Trundle,SUPPORT,1,0,2367,0,1,10,10,126249,1188,12178,112881,2269,1188,351,729,8990,5,15650,1114,198,130,38,15624,6034,8388,1202,10778,9400,1,0,83,4,0,0,338,16,24,0,76,26,0,0,0,0,1,2.2,1.6,233.8,266.5,203.6,147.8,99.4,362
76,Trundle,TOP,1,1,2149,0,3,3,1,270718.5,2375.5,153156,115186,6678.5,2359,4295,23.5,11842.5,1,37991.5,4923.5,3338.5,53,33,32879,14021,18445,413,12351.5,11337.5,1.5,0,292.5,4.5,4.5,0,387.5,16,6.5,0,21,9,0,0.5,0,0,0,10.65,8.7,526.5,450.15,393.05,275.1,908.75,410.65
77,Twisted Fate,MID,1,0,2042,3,0,3,Inf,382709,214220,17498,150992,11519,10915,604,0,2420,1,4093,9934,7857,31,12,5932,1557,4255,120,15322,14800,1,0,334,12,12,0,305,18,6,0,11,7,1,0,0,0,1,10.1,9.6,530,500.3,438.1,369,135.5,123.7
78,Twitch,BOTCARRY,1,1,1904,5,3,5,3.333333333,189552.5,28402,150284,10865.5,18787.5,2469,14347.5,1970,2219.5,3.5,7495,4774,4774,41,10.5,12950.5,5482,7045,422.5,13612,12540,2,0,280,24.5,21.5,0,853.5,15,4,0,14.5,11.5,0,0,0.5,0,0,11,6.55,441.25,287.8,387.2,251.05,217.85,183.2
79,Varus,BOTCARRY,9,10,2474.210526,2.421052632,1.894736842,5.157894737,4,282053.2105,62071.84211,214231.6316,5749,19727.36842,5869.052632,13494.73684,363.0526316,3751.842105,3.473684211,13672.84211,20979.73684,6764.789474,57.15789474,31.73684211,12320.31579,4881.684211,7150.684211,287.4210526,17469.68421,17009.73684,1.947368421,0.473684211,390.1052632,26.94736842,16.15789474,3.368421053,689.8947368,16.36842105,3.368421053,0,14.52631579,20.47368421,0.052631579,0.105263158,0.157894737,0.210526316,0,10.77894737,8.815789474,415.3368421,314.5,420.5631579,288.5842105,242.2473684,187.0684211
80,Vayne,BOTCARRY,1,0,2627,4,1,8,12,376086,128773,223511,23800,30969,5887,17487,7595,7126,4,17862,35754,9003,48,12,13079,5752,6007,1319,20212,19675,4,0,419,48,40,4,364,18,5,0,13,14,0,0,0,0,1,10.2,7.8,475.9,302.3,383,271.4,108.4,154.5
81,Veigar,MID,4,2,2304.333333,4.166666667,0.833333333,4.833333333,10.8,389680.1667,249537.5,13028.66667,127113,19808.5,18999.16667,535.1666667,273.8333333,4299,1,11386.66667,11288,3653.166667,36.66666667,26.33333333,16972.16667,9769.666667,6983.5,218.3333333,15938.66667,14212.5,0.833333333,0.166666667,328,29.33333333,23,4.166666667,156.8333333,17.5,6.5,0,18.83333333,7.5,0.166666667,0.166666667,0,0,0.5,10.36666667,8.483333333,558.3333333,478.5333333,427.5166667,292.7166667,427.7833333,266.9666667
82,Viktor,MID,2,1,2450.333333,3,0.333333333,1.666666667,14,303169.3333,268239.6667,17706.33333,17222,26961.66667,25749,787,425,6023.333333,1.666666667,21310.33333,10061,2839.333333,37.33333333,12.33333333,13024.66667,5073.333333,6875,1075.666667,16255,15366.66667,0.333333333,0.333333333,383.3333333,22.33333333,19,1.666666667,173.3333333,17.66666667,3.333333333,0,14.66666667,10,0,0,0,0.333333333,0,11.13333333,8.633333333,570.2666667,479.9666667,378.3666667,293.5666667,198.1,202.5333333
83,Vladimir,MID,0,3,1778.333333,0.666666667,3,1,0.555555556,280412.6667,119865,16809.66667,143738,12798,12044.33333,617.3333333,135.6666667,15607.66667,1,10189.33333,922.3333333,755.6666667,22.33333333,3.666666667,22689.33333,12587.33333,9853,248,10411.33333,9368.333333,0.333333333,0,256,5.333333333,3.666666667,0.666666667,88,14.66666667,4,0,12,4.666666667,0,0,0,0,0,9.3,9.333333333,521.5,478.2666667,354.1,293.6666667,741.0333333,487.2333333
84,Vladimir,TOP,4,10,2167.785714,2.071428571,2.785714286,3.357142857,1.948717949,277895.4286,189633.7857,20236.5,68024.21429,18803.64286,17513.21429,888.8571429,401,26395.92857,1,13129.21429,5343.928571,1773.928571,35.35714286,3.285714286,26584.28571,10449.28571,14966.14286,1168.285714,14003.5,13418.57143,0.5,0,305.4285714,14.07142857,8.142857143,0.642857143,119.0714286,17.14285714,3.928571429,0,19.28571429,5.285714286,0.142857143,0.071428571,0.071428571,0,0.214285714,9.75,8.307142857,525.85,453.7142857,395.8142857,285.7785714,585.7785714,354.2785714
85,Xayah,BOTCARRY,11,14,2345.16,3.52,1.84,4,4.086956522,317125.52,38829.8,273070.2,5224.64,23703.08,2189.88,21015.16,497.36,4078.32,3.36,9284.92,21838.16,7835.84,54.2,12.56,12510.84,5652.68,6480.76,376.64,17284.16,16063.72,2.68,0.48,388.84,32.6,17.56,5.16,202.28,16.52,5.88,0,16.48,16.48,0.04,0.24,0.08,0.16,0.24,10.976,8.88,460.104,331.696,422.792,288.664,187.24,178.484
86,Zac,JUNGLE,24,17,2221.487805,0.780487805,1.43902439,6.731707317,5.220338983,136371.8293,94697.21951,28498.34146,13175.43902,5679.536585,4778.487805,480.8780488,419.3170732,29043.60976,2.707317073,33009.39024,10695.73171,720.0243902,90.56097561,23.6097561,37504,11374.90244,23286.92683,2841.170732,11070.31707,10317.68293,0.414634146,0.048780488,36.2195122,129.3170732,94.82926829,8.073170732,712.5609756,15.12195122,13.07317073,0,41.73170732,21.34146341,0.146341463,0.024390244,0.048780488,0.024390244,0.43902439,0.997560976,0.356097561,391.8536585,347.795122,297.6536585,257.1536585,781.997561,765.0878049
87,Ziggs,BOTCARRY,1,0,2385,5,1,3,8,528963,318192,22004,188768,27754,26030,624,1100,2092,1,5095,68125,45852,56,10,12593,6719,5873,0,20441,19300,7,3,403,37,12,21,784,18,2,0,12,10,1,1,0,0,0,13.5,9.7,491.8,345.1,492.6,426.2,129.4,145.5
88,Zilean,SUPPORT,4,2,2524.5,0.5,2.333333333,7,3.214285714,25381.33333,20987.33333,3089.333333,1303.5,7394.833333,6540.666667,553.1666667,300.1666667,5395.333333,2.833333333,5817.333333,2502.166667,1081.666667,107.3333333,16.66666667,10905.66667,5493.666667,5038,373,10649.5,9690.833333,0.666666667,0,40.66666667,0.833333333,0.166666667,0.666666667,87.5,15.33333333,22.66666667,0,65.33333333,18.16666667,0,0,0.333333333,0,0.5,0.95,0.65,300.2166667,290.8166667,223.4833333,164.8333333,241.1333333,142.7833333
89,Zoe,MID,15,9,2222.458333,3.458333333,1.333333333,3.958333333,5.5625,360888.5,240917.125,17846.625,102123.9167,24836.91667,21423.54167,1071.625,2340.625,2908.458333,3.208333333,6080.458333,9949.291667,4721.666667,37.25,40.16666667,13706.33333,7468.333333,5801.708333,435.5416667,14968.95833,13543.75,1.541666667,0.291666667,306.75,27.5,19.58333333,4.041666667,182.5416667,17.04166667,4.666666667,0,17.83333333,8.75,0.125,0.125,0.083333333,0.166666667,0.208333333,10.3125,8.7875,549.2458333,487.075,414.8625,306.6916667,295.35,212.6916667
