,championId,pickTurn,name,gameNumber,isTiebreaker,isPlayoff,league
91,98,1,Shen,10,FALSE,FALSE,EULCS
92,429,2,Kalista,10,FALSE,FALSE,EULCS
93,90,3,Malzahar,10,FALSE,FALSE,EULCS
94,498,4,Xayah,10,FALSE,FALSE,EULCS
95,142,5,Zoe,10,FALSE,FALSE,EULCS
96,59,6,Jarvan IV,10,FALSE,FALSE,EULCS
97,223,7,Tahm Kench,10,FALSE,FALSE,EULCS
98,150,8,Gnar,10,FALSE,FALSE,EULCS
99,96,9,Kog'Maw,10,FALSE,FALSE,EULCS
100,516,10,Ornn,10,FALSE,FALSE,EULCS
101,429,1,Kalista,11,FALSE,FALSE,EULCS
102,3,2,Galio,11,FALSE,FALSE,EULCS
103,96,3,Kog'Maw,11,FALSE,FALSE,EULCS
104,59,4,Jarvan IV,11,FALSE,FALSE,EULCS
105,13,5,Ryze,11,FALSE,FALSE,EULCS
106,201,6,Braum,11,FALSE,FALSE,EULCS
107,15,7,Sivir,11,FALSE,FALSE,EULCS
108,154,8,Zac,11,FALSE,FALSE,EULCS
109,18,9,Tristana,11,FALSE,FALSE,EULCS
110,121,10,Kha'Zix,11,FALSE,FALSE,EULCS
111,429,1,Kalista,12,FALSE,FALSE,EULCS
112,40,2,Janna,12,FALSE,FALSE,EULCS
113,3,3,Galio,12,FALSE,FALSE,EULCS
114,41,4,Gangplank,12,FALSE,FALSE,EULCS
115,28,5,Evelynn,12,FALSE,FALSE,EULCS
116,96,6,Kog'Maw,12,FALSE,FALSE,EULCS
117,51,7,Caitlyn,12,FALSE,FALSE,EULCS
118,154,8,Zac,12,FALSE,FALSE,EULCS
119,15,9,Sivir,12,FALSE,FALSE,EULCS
120,113,10,Sejuani,12,FALSE,FALSE,EULCS
121,13,1,Ryze,13,FALSE,FALSE,EULCS
122,429,2,Kalista,13,FALSE,FALSE,EULCS
123,15,3,Sivir,13,FALSE,FALSE,EULCS
124,498,4,Xayah,13,FALSE,FALSE,EULCS
125,81,5,Ezreal,13,FALSE,FALSE,EULCS
126,3,6,Galio,13,FALSE,FALSE,EULCS
127,516,7,Ornn,13,FALSE,FALSE,EULCS
128,126,8,Jayce,13,FALSE,FALSE,EULCS
129,121,9,Kha'Zix,13,FALSE,FALSE,EULCS
130,164,10,Camille,13,FALSE,FALSE,EULCS
131,223,1,Tahm Kench,14,FALSE,FALSE,EULCS
132,150,2,Gnar,14,FALSE,FALSE,EULCS
133,429,3,Kalista,14,FALSE,FALSE,EULCS
134,516,4,Ornn,14,FALSE,FALSE,EULCS
135,142,5,Zoe,14,FALSE,FALSE,EULCS
136,12,6,Alistar,14,FALSE,FALSE,EULCS
137,98,7,Shen,14,FALSE,FALSE,EULCS
138,126,8,Jayce,14,FALSE,FALSE,EULCS
139,31,9,Cho'Gath,14,FALSE,FALSE,EULCS
140,164,10,Camille,14,FALSE,FALSE,EULCS
141,121,1,Kha'Zix,15,FALSE,FALSE,EULCS
142,28,2,Evelynn,15,FALSE,FALSE,EULCS
143,107,3,Rengar,15,FALSE,FALSE,EULCS
144,13,4,Ryze,15,FALSE,FALSE,EULCS
145,12,5,Alistar,15,FALSE,FALSE,EULCS
146,429,6,Kalista,15,FALSE,FALSE,EULCS
147,113,7,Sejuani,15,FALSE,FALSE,EULCS
148,150,8,Gnar,15,FALSE,FALSE,EULCS
149,154,9,Zac,15,FALSE,FALSE,EULCS
150,142,10,Zoe,15,FALSE,FALSE,EULCS
151,8,1,Vladimir,16,FALSE,FALSE,EULCS
152,223,2,Tahm Kench,16,FALSE,FALSE,EULCS
153,142,3,Zoe,16,FALSE,FALSE,EULCS
154,429,4,Kalista,16,FALSE,FALSE,EULCS
155,126,5,Jayce,16,FALSE,FALSE,EULCS
156,113,6,Sejuani,16,FALSE,FALSE,EULCS
157,121,7,Kha'Zix,16,FALSE,FALSE,EULCS
158,45,8,Veigar,16,FALSE,FALSE,EULCS
159,72,9,Skarner,16,FALSE,FALSE,EULCS
160,3,10,Galio,16,FALSE,FALSE,EULCS
161,142,1,Zoe,17,FALSE,FALSE,EULCS
162,28,2,Evelynn,17,FALSE,FALSE,EULCS
163,113,3,Sejuani,17,FALSE,FALSE,EULCS
164,13,4,Ryze,17,FALSE,FALSE,EULCS
165,96,5,Kog'Maw,17,FALSE,FALSE,EULCS
166,223,6,Tahm Kench,17,FALSE,FALSE,EULCS
167,150,7,Gnar,17,FALSE,FALSE,EULCS
168,154,8,Zac,17,FALSE,FALSE,EULCS
169,121,9,Kha'Zix,17,FALSE,FALSE,EULCS
170,59,10,Jarvan IV,17,FALSE,FALSE,EULCS
171,13,1,Ryze,18,FALSE,FALSE,EULCS
172,516,2,Ornn,18,FALSE,FALSE,EULCS
173,3,3,Galio,18,FALSE,FALSE,EULCS
174,429,4,Kalista,18,FALSE,FALSE,EULCS
175,81,5,Ezreal,18,FALSE,FALSE,EULCS
176,164,6,Camille,18,FALSE,FALSE,EULCS
177,150,7,Gnar,18,FALSE,FALSE,EULCS
178,126,8,Jayce,18,FALSE,FALSE,EULCS
179,8,9,Vladimir,18,FALSE,FALSE,EULCS
180,41,10,Gangplank,18,FALSE,FALSE,EULCS
181,72,1,Skarner,19,FALSE,FALSE,EULCS
182,96,2,Kog'Maw,19,FALSE,FALSE,EULCS
183,429,3,Kalista,19,FALSE,FALSE,EULCS
184,13,4,Ryze,19,FALSE,FALSE,EULCS
185,161,5,Vel'Koz,19,FALSE,FALSE,EULCS
186,107,6,Rengar,19,FALSE,FALSE,EULCS
187,18,7,Tristana,19,FALSE,FALSE,EULCS
188,201,8,Braum,19,FALSE,FALSE,EULCS
189,150,9,Gnar,19,FALSE,FALSE,EULCS
190,40,10,Janna,19,FALSE,FALSE,EULCS
191,13,1,Ryze,20,FALSE,FALSE,EULCS
192,3,2,Galio,20,FALSE,FALSE,EULCS
193,96,3,Kog'Maw,20,FALSE,FALSE,EULCS
194,98,4,Shen,20,FALSE,FALSE,EULCS
195,429,5,Kalista,20,FALSE,FALSE,EULCS
196,8,6,Vladimir,20,FALSE,FALSE,EULCS
