,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
29,Unicorns of Love,Blue,FALSE,15,2155,FALSE,FALSE,4,10,12,859282,467725,362531,29021,50978,26169,23626,1180,42086,13,70043,13454,5105,312,65,82383,43676,35540,3163,60162,58335,1111,198,151,12,1635,78,35,0,168,71,31.7,27.2,2340.4,1775.2,1841.1,1223.7,2254.5,1411.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0
30,FC Schalke 04,Red,TRUE,15,2155,FALSE,FALSE,10,4,28,960217,472086,291130,196994,57443,40308,13968,3164,28924,11,108721,66790,24761,379,147,80152,27658,51310,1180,71241,63425,1200,185,113,29,3162,82,41,0,169,70,36.8,29.9,2176.2,1948.6,1856.7,1370.8,2706.4,1610.3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,10,2,1,4,0
31,Giants Gaming,Blue,TRUE,16,1807,FALSE,FALSE,6,3,19,697618,372747,301144,23724,50533,35722,13669,1138,31286,18,51608,35684,23776,276,46,60953,19579,33295,8074,57612,50960,1030,179,149,7,2437,74,26,0,145,71,40.4,29.4,2273.1,1815.9,1699.2,1335.5,1504,1395.2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,8,1,1,1,0
32,H2K,Red,FALSE,16,1807,FALSE,FALSE,3,6,5,856584,252730,404372,199477,34910,16184,14816,3905,14982,12,63799,28649,8371,320,53,73007,37545,34489,969,51851,50343,1002,196,128,5,1161,70,32,0,161,64,37.4,29.8,2195.5,1841.3,1661.7,1437.3,1639.9,1283.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,0,1,0
33,ROCCAT,Blue,TRUE,17,1891,FALSE,FALSE,12,2,40,723453,347994,343951,31507,72177,39414,32150,610,22826,14,90608,53219,29467,284,93,67155,25086,40587,1478,64217,55818,1022,191,141,12,2689,77,49,0,135,81,37.7,29,2233.4,1894.9,1767.9,1319.5,1587.9,1447.2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,11,2,1,0,1
34,Unicorns of Love,Red,FALSE,17,1891,FALSE,FALSE,2,12,5,870155,172727,539049,158375,42293,22659,18153,1478,41200,13,76999,21619,7143,308,73,98389,42433,55342,610,56262,53168,1007,189,144,4,2491,72,30,0,168,48,32.8,30.2,2134.2,1963.5,1813.7,1454.2,2586.6,2059.3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,0,0,2,0
35,Misfits Gaming,Blue,TRUE,18,1880,FALSE,FALSE,14,3,25,704001,351668,303630,48699,56248,32262,20989,2995,28825,12,81552,44489,21166,304,86,77414,27001,47257,3152,63340,57325,978,188,134,20,2454,80,48,0,164,49,35.9,26.9,2112.5,1758.9,1682.5,1250.1,1743.4,1724.2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,1,2,0,0
36,Team Vitality,Red,FALSE,18,1880,FALSE,FALSE,3,14,5,767384,278008,446347,43022,45094,23013,18924,3154,14603,11,74155,50214,13496,238,89,79768,35153,41619,2994,54828,52543,944,207,132,16,1355,72,37,0,117,50,35.3,28,2316.7,1853.8,2126.9,1377.4,1623.7,1413.8,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,6,1,0,2,1
37,FC Schalke 04,Blue,FALSE,19,2877,FALSE,FALSE,5,11,16,1444839,550248,826646,67941,99277,52680,42101,4491,37853,12,197969,61446,19042,451,121,135705,51850,81968,1882,90988,94758,1541,296,216,20,3737,87,55,0,231,74,39.8,28.7,2368.1,1903.2,1976,1348.1,1884.5,1685.2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,0,2,2,0
38,Splyce,Red,TRUE,19,2877,FALSE,FALSE,11,5,35,1377412,677969,662221,37217,99637,47961,49791,1882,59819,13,159500,77007,42663,469,173,128467,54481,69492,4491,92587,83725,1458,246,185,10,3417,90,49,0,189,120,36.6,29.4,2264,1963.3,1871.4,1368.8,1747.8,1655,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10,2,1,2,0
