,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
190,KONGDOO MONSTER,Red,FALSE,95,2117,FALSE,FALSE,3,13,9,1078904,335791,399507,343606,51124,29254,19166,2699,25733,7,72665,29873,4493,325,63,100493,36464,58140,5883,56116,53995,1089,196,150,8,3343,77,43,0,174,56,35.5,27.2,2313.6,1895.4,1763.6,1284.1,2473.1,1664,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2,0,0,2,1
191,SK telecom T1,Blue,TRUE,96,1836,FALSE,FALSE,15,4,35,1054081,444887,275842,333346,77120,38424,37011,1681,39524,13,114681,56217,22731,249,132,96124,24924,67390,3805,62331,54883,975,166,102,30,4072,78,32,0,116,35,36.1,29.9,2318,1978.6,1769.1,1321.6,2505.8,1493.3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,10,2,1,3,0
192,KONGDOO MONSTER,Red,FALSE,96,1836,FALSE,FALSE,4,15,11,851367,159652,391361,300348,54337,22446,30617,1271,23837,15,117416,13173,771,228,109,99888,39681,58818,1388,46859,45330,929,140,103,8,2841,71,30,0,103,43,34.3,29.7,2271,1866.5,1626.8,1312.2,2229.6,1397.5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,1
193,KONGDOO MONSTER,Blue,TRUE,97,2716,FALSE,FALSE,24,15,61,1427517,491518,522655,413340,136839,60222,52883,23727,48144,21,178880,89103,32959,534,261,150878,70798,77012,3067,87972,84783,1120,273,144,47,4390,88,65,0,246,100,34.9,26.3,2437.7,1829.1,2112.5,1341.1,2572.8,1845.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,11,5,3,2,0
194,SK telecom T1,Red,FALSE,97,2716,FALSE,FALSE,15,24,39,1527527,781670,422978,322871,109884,67206,39609,3067,44714,11,178664,17535,3810,425,243,162208,62313,76164,23726,76911,72235,1392,200,154,7,6315,87,71,0,256,98,34.4,26.4,2168.5,1801,1678.8,1326.4,2673.8,1833.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,2,0
195,SK telecom T1,Blue,TRUE,98,1644,FALSE,FALSE,8,3,21,828172,208520,428832,190815,56598,24424,29750,2420,20407,20,44443,55580,29783,244,74,59137,28910,30030,193,55910,45253,786,160,102,13,1659,72,28,0,135,59,32.2,25.2,2247.5,1865.5,1754.2,1276.8,1980.2,1298.6,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,11,2,1,2,0
196,KONGDOO MONSTER,Red,FALSE,98,1644,FALSE,FALSE,3,8,8,952450,306582,167512,478354,37555,26942,10417,193,33264,9,49511,1891,1891,247,46,76576,27260,46892,2418,42859,40600,837,142,111,4,1573,64,36,0,133,60,35.4,29.7,2128.1,1923.6,1721.3,1338.1,2953.1,1869.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
197,KSV,Blue,FALSE,99,2676,FALSE,FALSE,2,8,7,1489180,605973,588459,294744,45022,26563,14800,3655,49486,20,135398,12356,3477,461,108,117670,39619,75257,2791,72872,68748,1520,245,192,4,2062,86,73,0,241,112,37.7,29.6,2325,1897.2,1625.5,1278.8,1313.1,1343.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0
198,kt Rolster,Red,TRUE,99,2676,FALSE,FALSE,8,2,20,1400202,446240,763360,190598,86813,35114,48905,2789,27523,10,74423,87504,25937,491,186,81397,31719,45020,4656,83205,70700,1360,315,194,34,4679,89,59,0,234,129,35,28.1,2264.7,1931.1,1653.5,1327.3,1456.2,1340.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,5,2,3,1
199,kt Rolster,Blue,TRUE,100,2851,FALSE,FALSE,14,4,43,1850986,717949,779217,353817,137677,57481,75436,4756,47350,9,177290,92948,24454,499,213,129419,57683,66591,5140,91545,79595,1523,295,203,33,5004,89,75,0,266,103,38.4,29.7,2315.1,1928.3,1725.5,1284.3,1907.3,1548.6,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,11,3,1,4,0
