,championId,pickTurn,name,gameNumber,isTiebreaker,isPlayoff,league
64,81,4,Ezreal,7,FALSE,FALSE,LCK
65,201,5,Braum,7,FALSE,FALSE,LCK
66,113,6,Sejuani,7,FALSE,FALSE,LCK
67,154,7,Zac,7,FALSE,FALSE,LCK
68,18,8,Tristana,7,FALSE,FALSE,LCK
69,107,9,Rengar,7,FALSE,FALSE,LCK
70,268,10,Azir,7,FALSE,FALSE,LCK
71,96,1,Kog'Maw,8,FALSE,FALSE,LCK
72,8,2,Vladimir,8,FALSE,FALSE,LCK
73,13,3,Ryze,8,FALSE,FALSE,LCK
74,142,4,Zoe,8,FALSE,FALSE,LCK
75,113,5,Sejuani,8,FALSE,FALSE,LCK
76,41,6,Gangplank,8,FALSE,FALSE,LCK
77,45,7,Veigar,8,FALSE,FALSE,LCK
78,40,8,Janna,8,FALSE,FALSE,LCK
79,161,9,Vel'Koz,8,FALSE,FALSE,LCK
80,98,10,Shen,8,FALSE,FALSE,LCK
81,113,1,Sejuani,9,FALSE,FALSE,LCK
82,429,2,Kalista,9,FALSE,FALSE,LCK
83,142,3,Zoe,9,FALSE,FALSE,LCK
84,81,4,Ezreal,9,FALSE,FALSE,LCK
85,223,5,Tahm Kench,9,FALSE,FALSE,LCK
86,96,6,Kog'Maw,9,FALSE,FALSE,LCK
87,150,7,Gnar,9,FALSE,FALSE,LCK
88,201,8,Braum,9,FALSE,FALSE,LCK
89,8,9,Vladimir,9,FALSE,FALSE,LCK
90,12,10,Alistar,9,FALSE,FALSE,LCK
91,96,1,Kog'Maw,10,FALSE,FALSE,LCK
92,142,2,Zoe,10,FALSE,FALSE,LCK
93,98,3,Shen,10,FALSE,FALSE,LCK
94,8,4,Vladimir,10,FALSE,FALSE,LCK
95,429,5,Kalista,10,FALSE,FALSE,LCK
96,81,6,Ezreal,10,FALSE,FALSE,LCK
97,201,7,Braum,10,FALSE,FALSE,LCK
98,41,8,Gangplank,10,FALSE,FALSE,LCK
99,223,9,Tahm Kench,10,FALSE,FALSE,LCK
100,164,10,Camille,10,FALSE,FALSE,LCK
101,113,1,Sejuani,11,FALSE,FALSE,LCK
102,81,2,Ezreal,11,FALSE,FALSE,LCK
103,268,3,Azir,11,FALSE,FALSE,LCK
104,429,4,Kalista,11,FALSE,FALSE,LCK
105,96,5,Kog'Maw,11,FALSE,FALSE,LCK
106,142,6,Zoe,11,FALSE,FALSE,LCK
107,223,7,Tahm Kench,11,FALSE,FALSE,LCK
108,24,8,Jax,11,FALSE,FALSE,LCK
109,516,9,Ornn,11,FALSE,FALSE,LCK
110,150,10,Gnar,11,FALSE,FALSE,LCK
111,113,1,Sejuani,12,FALSE,FALSE,LCK
112,268,2,Azir,12,FALSE,FALSE,LCK
113,142,3,Zoe,12,FALSE,FALSE,LCK
114,28,4,Evelynn,12,FALSE,FALSE,LCK
115,429,5,Kalista,12,FALSE,FALSE,LCK
116,81,6,Ezreal,12,FALSE,FALSE,LCK
117,121,7,Kha'Zix,12,FALSE,FALSE,LCK
118,164,8,Camille,12,FALSE,FALSE,LCK
119,102,9,Shyvana,12,FALSE,FALSE,LCK
120,41,10,Gangplank,12,FALSE,FALSE,LCK
121,268,1,Azir,13,FALSE,FALSE,LCK
122,81,2,Ezreal,13,FALSE,FALSE,LCK
123,113,3,Sejuani,13,FALSE,FALSE,LCK
124,429,4,Kalista,13,FALSE,FALSE,LCK
125,96,5,Kog'Maw,13,FALSE,FALSE,LCK
126,110,6,Varus,13,FALSE,FALSE,LCK
127,150,7,Gnar,13,FALSE,FALSE,LCK
128,98,8,Shen,13,FALSE,FALSE,LCK
129,223,9,Tahm Kench,13,FALSE,FALSE,LCK
130,201,10,Braum,13,FALSE,FALSE,LCK
131,41,1,Gangplank,14,FALSE,FALSE,LCK
132,81,2,Ezreal,14,FALSE,FALSE,LCK
133,98,3,Shen,14,FALSE,FALSE,LCK
134,96,4,Kog'Maw,14,FALSE,FALSE,LCK
135,110,5,Varus,14,FALSE,FALSE,LCK
136,429,6,Kalista,14,FALSE,FALSE,LCK
137,164,7,Camille,14,FALSE,FALSE,LCK
138,59,8,Jarvan IV,14,FALSE,FALSE,LCK
139,126,9,Jayce,14,FALSE,FALSE,LCK
