,teamName,summonerName,wins,losses,teamRole,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
34,Hong Kong Attitude,HKA Chawy,9,19,MID,2182.071429,2.75,2.607142857,3.607142857,2.438356164,280935.6071,203756.3929,16419.46429,60758.75,21297.39286,19418.57143,1026.321429,852.0357143,2743.642857,1.142857143,13746.5,6835.678571,1920.5,46.82142857,36.78571429,15077.03571,7131.321429,7243.857143,701.1785714,14412.96429,13617.14286,0.535714286,0.071428571,317.5714286,30.10714286,22.67857143,2.392857143,895.3214286,17.03571429,8.535714286,0,19.32142857,13.14285714,0.214285714,0,0.071428571,0.071428571,0.142857143,10.13571429,9,540.7392857,479.8392857,399.6821429,302.8392857,323.6714286,186.0964286
35,Hong Kong Attitude,HKA Destiny,1,4,SUPPORT,2191.4,0,1.8,5,2.777777778,30449.4,13883,8128.4,8437.2,4194.8,3702.4,392.8,99.2,5602.8,4.2,27036.6,1788,377,91.2,20.2,16738,8695.2,7472,570,9874.6,9145,0.2,0,104.6,0,0,0,264.8,13.4,17,0,60.2,19.2,0,0,0,0,0,3.66,2.16,327.92,290.1,271.72,171.7,306.86,167.7
36,Hong Kong Attitude,HKA Gear,1,5,MID,2113.666667,2.333333333,1.833333333,3.166666667,3,273304.8333,206870.1667,18761,47672.83333,18452.16667,17344.16667,758.1666667,349.5,3557,1.666666667,12451.16667,9787.666667,1669.666667,39.33333333,11.83333333,14967.33333,6890,7725.5,351,13435.33333,13151.33333,0.166666667,0.166666667,309.6666667,23.33333333,20.5,1,277.8333333,16.16666667,7.5,0,20.83333333,12.5,0.166666667,0,0,0,0,10.53333333,8.516666667,571.9,487.95,403.4333333,290.95,378.1,211.8833333
37,Hong Kong Attitude,HKA Gemini,5,15,JUNGLE,2198.4,0.6,2.55,5.25,2.294117647,125888.7,42667.35,69630.5,13589.95,5099.6,1935.85,2979.9,183,9605,1.8,25755.85,9857.05,672.2,124.05,15.6,26523.35,8632.15,16983.95,906.7,10565.4,10205,0.55,0,41.65,123.1,86.6,4.65,555.05,14.4,19,0,70.05,24.35,0.05,0,0.1,0,0.1,1.28,0.55,390.775,314.28,303.6,243.99,605.92,526.5
38,Hong Kong Attitude,HKA Kaiwing,9,20,SUPPORT,2166.310345,0.448275862,2.275862069,5.206896552,2.484848485,118123.4483,13014.37931,8045.241379,97062.82759,6023.275862,4946.37931,652.2068966,424,3644.724138,4.034482759,18766.27586,2300.793103,480.5862069,81.31034483,21.86206897,15492.48276,6400.931034,8351.793103,739.2413793,8834.482759,8271.034483,0.137931034,0,61.4137931,0.413793103,0,0,248.8965517,13.62068966,15.96551724,0,51.75862069,11.03448276,0.068965517,0.068965517,0.137931034,0,0.137931034,2.065517241,1.337931034,286.3586207,284.8896552,235.5413793,160.2413793,327.7448276,191.8172414
39,Hong Kong Attitude,HKA Nova,5,9,JUNGLE,2129.428571,1.357142857,2.785714286,4.428571429,2.076923077,171933.5,60427.57143,94299.57143,17205.35714,6903.928571,2161.714286,3664.571429,1076.857143,15450.07143,2.428571429,28819.92857,19423.21429,1497.857143,74.5,14.64285714,33363.14286,10906.5,20969.78571,1486.071429,11226.57143,10484.64286,0.214285714,0.071428571,35.92857143,160.5714286,114.4285714,2.857142857,772.2142857,15,11.35714286,0,38.71428571,16.92857143,0.357142857,0.071428571,0.142857143,0.071428571,0.142857143,0.964285714,0.321428571,417.2428571,378.4714286,312.45,289.0285714,847.2,641.1785714
40,Hong Kong Attitude,HKA Riris,10,24,TOP,2170,1.764705882,2.558823529,3.382352941,2.011494253,230242.8824,55897.5,151606.5882,22738,17344.5,6408.911765,9542.352941,1392.558824,6963.088235,1.147058824,31198.58824,5321.529412,2273.235294,42.82352941,27.35294118,25497.35294,9661.705882,14635.94118,1199.029412,14069.91176,13391.14706,1,0.029411765,306.4411765,12.91176471,7.705882353,1.529411765,1067.647059,16.97058824,4.323529412,0,22.32352941,6.411764706,0.117647059,0.058823529,0.029411765,0,0.117647059,9.479411765,7.744117647,525.1235294,456.3088235,391.1941176,282.8852941,520.3176471,338.6205882
41,Hong Kong Attitude,HKA Unified,10,24,BOTCARRY,2170,2.823529412,2.147058824,3.205882353,2.808219178,249329.4118,49329.82353,182470.1176,17528.67647,21491.35294,4175.794118,16569.20588,745.7941176,2963,3.176470588,10292.26471,15466.67647,6213.235294,54.08823529,19.08823529,11167.41176,5157.882353,5584.941176,423.7941176,14900.23529,13863.52941,1.676470588,0.264705882,348.5,18.52941176,11.23529412,1.470588235,392.0588235,15.5,4.970588235,0,15.14705882,18.5,0.029411765,0.117647059,0.058823529,0.117647059,0.088235294,10.80588235,9.026470588,423.3,319.0176471,401.8558824,291.7058824,218.9058824,152.1147059
42,J Team,JT Alex,2,8,JUNGLE,2229.6,1.8,3.2,4.1,1.84375,141969.1,49103.4,79946.4,12918.5,7527.9,2205.1,4060.4,1261.5,12519.5,2.1,29764,10698.3,498.9,62.6,20.9,32429.7,11522.2,19512.9,1393.8,10890.2,9890.5,0.6,0,32.9,134.8,95.8,6.5,742.8,14.5,14.4,0,31.8,17.5,0.4,0,0.1,0,0.3,0.91,0.24,370.98,343,295.97,278.93,816.02,638.9
43,J Team,JT Breaker,4,4,JUNGLE,2235.125,0.25,3,4.75,1.666666667,153802.25,71458.375,67594.75,14748.875,4901.75,2642,2117.375,141.875,11367.375,2.875,35323.5,11639.625,781.125,116.625,8.5,34198.625,11647.25,21852,698.375,11551.375,10931.875,0.25,0,42.625,149.5,104.125,15.75,587.875,15.25,12.75,0,59.625,28.625,0.125,0,0.125,0,0.375,0.95,0.225,386.5875,338.025,304.125,259.75,778.425,617.1875
44,J Team,JT FoFo,14,19,MID,2255.393939,3,1.545454545,3.96969697,4.509803922,325281.303,229598.3939,19782.15152,75900.0303,20666.15152,19059.48485,1021.030303,584.9393939,3551.454545,1.484848485,10930.57576,10010.27273,3044.69697,41.96969697,17.6969697,14004.87879,7165.636364,6502.484848,336.030303,15259.15152,14061.87879,0.939393939,0.333333333,333.6363636,32.75757576,25.84848485,2.96969697,1080.363636,17.27272727,5.242424242,0,19.48484848,9.636363636,0.060606061,0.03030303,0.151515152,0.181818182,0.272727273,11.14242424,9.487878788,583.5939394,498.7121212,420.5757576,309.030303,286.1,179.1212121
