,name,teamRole,wins,losses,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
86,Vladimir,MID,1,2,2265,2.333333333,3,3.333333333,1.888888889,373708,202050,21092.33333,150565,21926,20791.33333,697,437,26946.66667,1,17357.33333,2326.666667,1963.666667,28.66666667,7.666666667,30245.33333,16026,12959.33333,1259,14789.33333,13420,0.333333333,0,341.3333333,6.333333333,4.666666667,0.333333333,130.6666667,17,3,0,14.66666667,8,0.333333333,0,0,0,0.333333333,10.1,9.4,551.0666667,471.6,427.3333333,294.6,738.2333333,366.7666667
87,Vladimir,TOP,3,7,2310.7,2.9,2.9,2.8,1.965517241,320666.9,237612.8,19082.6,63970.8,23049.6,21846,785.6,417.3,33746.8,1,16952.6,6626.1,1978.2,43.4,5.4,33189.9,10803.8,20738.9,1646.8,15713.6,14844,0.8,0.3,336.1,17.3,8.7,2.4,148.5,17.5,4,0,23.8,6.4,0.3,0.3,0,0.1,0,9.7,8.62,527.57,468.52,408.19,310,755.12,439.88
88,Volibear,JUNGLE,2,1,2315.666667,2.666666667,5,11.33333333,2.8,164459.6667,68066,83629,12763.66667,10912.33333,5112,3857,1942.666667,9403,1,30105.66667,11600,1971.333333,65.33333333,25.66666667,35947.66667,16391.33333,18546.66667,1009,12374,11675,0,0,39.33333333,137.6666667,95.66666667,7.333333333,1439.666667,16,12,0,31,10,0,0,0,0,0.666666667,0.433333333,0.533333333,347.2333333,313.4666667,305.0333333,247.5,871.9666667,489.8666667
89,Xayah,BOTCARRY,11,7,2303.055556,4.833333333,1.333333333,4.777777778,7.208333333,322006.4444,31446.44444,284941.9444,5617.333333,30728.94444,3067.722222,26756.61111,903.8333333,4616.777778,3.055555556,8824.277778,27128.11111,9927.944444,45.05555556,14.77777778,12615.5,6176.111111,5872.5,566.2777778,17607.33333,15533.33333,3.333333333,0.666666667,374.7222222,31.27777778,17.05555556,4.166666667,232.5,16.55555556,5.5,0,14.72222222,14.11111111,0.055555556,0.277777778,0.166666667,0.277777778,0.277777778,10.65555556,8.677777778,451.7666667,320.95,429.0277778,295.1333333,220.7277778,195.5833333
90,Xerath,MID,0,1,3031,4,0,5,Inf,608702,436965,13466,158271,52225,48793,173,3258,861,1,4882,5679,1409,33,48,8465,2269,6171,25,22395,22650,0,0,496,27,20,2,704,18,2,0,14,2,1,0,0,0,0,11.5,9.1,636.9,499.3,482.6,297.9,47.3,93
91,Yasuo,TOP,2,0,1722,1,2.5,4,2,196419.5,10909.5,177844,7665,9164,991,8083,90,1240.5,1,18024,12426,5086,23,12.5,13914.5,3405,10078,430.5,12370,11312.5,2.5,0,269,27.5,8,6,461,15.5,2.5,0,13.5,1.5,0,0,0,0,1,8.9,8.85,489.4,446.95,356.1,275.05,411.25,314.65
92,Zac,JUNGLE,20,12,2332,1.125,1.90625,7.46875,4.508196721,159082.0625,114923.0625,29967.96875,14190.125,7420.78125,5855.375,627.5,937,37770.59375,1.375,41532.90625,13319.78125,831.1875,74.625,26.28125,45027.5625,13680.5625,26979.8125,4366.375,12130.5625,11209.6875,0.5,0.09375,40.09375,143,105.625,7.8125,787.09375,15.90625,11.84375,0,33.1875,17.4375,0.03125,0.03125,0.125,0.0625,0.1875,0.959375,0.328125,409.81875,354.203125,308.571875,259.334375,874.1375,765.325
93,Ziggs,MID,0,1,2157,5,3,3,2.666666667,224695,206934,10525,7235,29558,28933,624,0,1202,1,8784,1463,590,42,14,12405,4708,7696,0,13854,13050,0,0,323,22,22,0,711,17,8,0,20,5,0,0,0,0,0,11.2,8.7,598.3,495.5,430.5,313.8,28.5,135.8
94,Zilean,MID,2,1,2264,2.666666667,1.333333333,7.333333333,7.5,289372,223378.6667,14321,51671.33333,17463.66667,16387.66667,745.3333333,329.6666667,7656.666667,3.333333333,5707.333333,2975,1321.666667,32,20.66666667,13454.66667,8014,5351.333333,88.33333333,14596.66667,13083.33333,0.333333333,0,311.6666667,19.66666667,18.66666667,1,610.3333333,17.66666667,8.666666667,0,14,8.666666667,0.333333333,0,0,0,0.666666667,10.8,8.766666667,684.9,516.1,421.6,295.4666667,214.9666667,155.7666667
95,Zilean,SUPPORT,0,2,2194.5,0,4,4.5,1.125,30947,27020,3926.5,0,8556,7854,702,0,3649,3,5684,1089.5,0,90,15.5,11792,5057.5,6734,0,7452,7150,0,0,29.5,1,1,0,98,13.5,17,0,51.5,13,0,0,0,0,0,0.95,0.35,287.1,268.2,200.95,150.4,220.7,177.15
96,Zoe,MID,5,5,2289.4,2.9,1.6,4.4,4.5625,404460.8,252417.5,17163.9,134878.4,25973.8,22320,1095.8,2557.1,2169.6,2.8,6766.3,7889.1,2652.8,37.6,41.8,13453.1,7708.1,5324,420.3,14923.2,13832.5,1,0.1,327.8,21.2,18,2.2,179.5,17,5.4,0,18.7,6.7,0.2,0,0.1,0,0.4,9.95,9.47,527.89,489.01,389.74,297.86,241.75,178.98
